Магазин,Название товара,Цена,Дата
Пятерочка,"чай
чай","800р. 
за 1 кг",18 июля 2022
Пятерочка,масло растительное,"130р. 
за 1 л",18 июля 2022
Пятерочка,"яйцо
яйца 10 шт","80р. 
за единицу",18 июля 2022
Пятерочка,"молоко
молоко","80р. 
за 1 л",18 июля 2022
Пятерочка,"рыба
рыба","400р. 
за 1 кг",18 июля 2022
Пятерочка,"мясо
Говядина","550р. 
за 1 кг",18 июля 2022
Пятерочка,"фрукты
яблоки","125р. 
за 1 кг",18 июля 2022
Пятерочка,"капуста
капуста","40р. 
за 1 кг",18 июля 2022
Пятерочка,"картофель
картошка","65р. 
за 1 кг",18 июля 2022
Пятерочка,"мука
мука","40р. 
за 1 кг",18 июля 2022
Пятëрочка,"хлеб
батон нарезной","15р. 
за 0.5 кг",18 июля 2022
Пятерочка,"соль
поваренная","40р. 
за 1 кг",13 июля 2022
Лента,"сыр
Аланталь","1200р. 
за 1 кг",16 июня 2022
Лента,"хлеб
хлеб","40р. 
за 1 кг",15 июня 2022
Пятерочка,"мясопродукты
Колбаса вареная Бутербродная Микояновский мясокомбинат 500 г","500р. 
за 1 кг",12 июня 2022
Лента,"яйцо
Роскар 10шт","112р. 
за единицу",11 июня 2022
Пятерочка,"молоко
молоко","58р. 
за 1 л",08 июня 2022
Пятерочка,"сахар
сахар","79р. 
за 1 кг",08 июня 2022
Пятерочка,"чай
чай","1100р. 
за 1 кг",01 июня 2022
Пятерочка,"масло растительное
масло растительное","130р. 
за 1 л",01 июня 2022
Пятерочка,"яйцо
яйца 10 шт","90р. 
за единицу",01 июня 2022
Пятерочка,"молоко
молоко","70р. 
за 1 л",01 июня 2022
Пятерочка,"рыба
рыба","600р. 
за 1 кг",01 июня 2022
Пятерочка,"мясо
Говядина","450р. 
за 1 кг",01 июня 2022
Пятерочка,"сахар
сахар","70р. 
за 1 кг",01 июня 2022
Пятерочка,"фрукты
яблоки","98р. 
за 1 кг",01 июня 2022
Пятерочка,"капуста
капуста","55р. 
за 1 кг",01 июня 2022
Пятерочка,"картофель
картошка","50р. 
за 1 кг",01 июня 2022
Рынок,"ягоды
Клубника","329р. 
за 1 кг",28 мая 2022
Пятерчка,"яйцо
яйца 10 шт","60р. 
за единицу",23 мая 2022
Пятерчка,"масло растительное
масло растительное","150р. 
за 1 л",23 мая 2022
Пятерчка,"картофель
картошка","60р. 
за 1 кг",23 мая 2022
Пятерчка,"мука
мука","50р. 
за 1 кг",23 мая 2022
Окей,"хлеб
хлеб","50р. 
за 1 кг",18 мая 2022
Перекресток,"кисломолочные продукты
сметана","92р. 
за 250 г",17 мая 2022
Лента,"творог
савушкин продукт","500р. 
за 1 кг",16 мая 2022
Магнит,"гречка
гречка","70р. 
за 1 кг",16 мая 2022
Перекресток,"капуста
Капуста б/к свежая","77р. 
за 1 кг",15 мая 2022
Магнит,"картофель
картошка","50р. 
за 1 кг",13 мая 2022
Лента,"мясо
Куриная грудка","320р. 
за 1 кг",12 мая 2022
нонейм универсам,"ягоды
Клубника","720р. 
за 1 кг",05 мая 2022
Ашан,"сок
J7","200р. 
за 1 л",05 мая 2022
Дикси,"макароны
Первым делом","50р. 
за 1 кг",03 мая 2022
Лента,"сыр
Голландский сыр","596р. 
за 1 кг",27 апреля 2022
Ашан,"шоколад
M&M\'s","324р. 
за 250 г",26 апреля 2022
Магнит,"чай
чай","500р. 
за 1 кг",15 апреля 2022
Магнит,"масло растительное
масло растительное","120р. 
за 1 л",15 апреля 2022
Магнит,"яйцо
яйца 10 шт","80р. 
за единицу",15 апреля 2022
Магнит,"молоко
молоко","80р. 
за 1 л",15 апреля 2022
Магнит,"сахар
сахар","79р. 
за 1 кг",15 апреля 2022