	Магазин	Название товара	Цена	Дата
0	Пятерочка	хлебРжевский	61.99р. за единицу	29 июля 2022
1	Перекресток	гречкаМистраль ядрица	165р. за 1 кг	26 июля 2022
2	Магнит	ягодыСмородина	500р. за 1 кг	22 июля 2022
3	Пятëрочка	хлебчерный кирпичиком	20р. за 1 кг	19 июля 2022
4	Перекресток	колбасавязанка	299р. за 1 кг	18 июля 2022
5	Лента	чайчай	700р. за 1 кг	14 июля 2022
6	Лента	масло растительноемасло растительное	140р. за 1 л	14 июля 2022
7	Лента	яйцояйца 10 шт	100р. за единицу	14 июля 2022
8	Лента	молокомолоко	120р. за 1 л	14 июля 2022
9	Лента	сахарсахар	75р. за 1 кг	14 июля 2022
10	Лента	фруктыяблоки	140р. за 1 кг	14 июля 2022
11	Лента	капустакапуста	50р. за 1 кг	14 июля 2022
12	Лента	гречкагречка	140р. за 1 кг	14 июля 2022
13	Дикси	масло растительноемасло растительное	120р. за 1 л	03 июля 2022
14	Дикси	яйцояйца 10 шт	90р. за единицу	03 июля 2022
15	Дикси	сахарсахар	75р. за 1 кг	03 июля 2022
16	Дикси	фруктыяблоки	145р. за 1 кг	03 июля 2022
17	Пятерочка	молокоПростаквашино	50р. за 1 л	28 июня 2022
18	Лента	масло сливочноемасло 	1000р. за 1 кг	28 июня 2022
19	Дикси	крупарис	70р. за 1 кг	25 июня 2022
20	Ашан	гречкакрупа гречневая ядрица 1 сорт, 800г	119.9р. за 1 кг	24 июня 2022
21	Перекресток	овощиогурцы	180р. за 1 кг	22 июня 2022
22	Пятерочка	хлеббатон	26р. за 1 кг	22 июня 2022
23	Пятерочка	водаСвятой источник	35р. за 1 л	21 июня 2022
24	Магнит	рыбалосось	1000р. за 1 кг	20 июня 2022
25	Перекресток	мясокуриная голень	240р. за 1 кг	19 июня 2022
26	Водный мир	рыбаЛосось охлажденный	1700р. за 1 кг	13 июня 2022
27	Магнит	масло растительноемасло растительное	90р. за 1 л	13 июня 2022
28	Магнит	яйцояйца 10 шт	70р. за единицу	13 июня 2022
29	Магнит	молокомолоко	89р. за 1 л	13 июня 2022
30	Магнит	сахарсахар	70р. за 1 кг	13 июня 2022
31	Магнит	капустакапуста	80р. за 1 кг	13 июня 2022
32	Магнит	мукамука	60р. за 1 кг	13 июня 2022
33	Пятерочка	гречкагречка  Мистраль, ядрица	159р. за 1 кг	07 июня 2022
34	Пятерочка	гречка гречка	100р. за 1 кг	07 июня 2022
35	Магнит	хлебхлеб  белый	20р. за 1 кг	27 мая 2022
36	Красное&белое	напитокFanta	89р. за 1 л	26 мая 2022
37	Пятерочка	чайчай	890р. за 1 кг	24 мая 2022
38	5	чайчай	1600р. за 1 кг	23 мая 2022
39	5	масло растительноемасло растительное	120р. за 1 л	23 мая 2022
40	5	яйцояйца 10 шт	80р. за единицу	23 мая 2022
41	5	молокомолоко	40р. за 1 л	23 мая 2022
42	5	рыбарыба	300р. за 1 кг	23 мая 2022
43	5	мясоГовядина	500р. за 1 кг	23 мая 2022
44	5	сахарсахар	80р. за 1 кг	23 мая 2022
45	5	фруктыяблоки	100р. за 1 кг	23 мая 2022
46	5	капустакапуста	50р. за 1 кг	23 мая 2022
47	5	картофелькартошка	50р. за 1 кг	23 мая 2022
48	5	мукамука	50р. за 1 кг	23 мая 2022
49	Пятерочка	хлебРжевский	61.99р. за единицу	29 июля 2022
50	Перекресток	гречкаМистраль ядрица	165р. за 1 кг	26 июля 2022
51	Магнит	ягодыСмородина	500р. за 1 кг	22 июля 2022
52	Пятëрочка	хлебчерный кирпичиком	20р. за 1 кг	19 июля 2022
53	Перекресток	колбасавязанка	299р. за 1 кг	18 июля 2022
54	Лента	чайчай	700р. за 1 кг	14 июля 2022
55	Лента	масло растительноемасло растительное	140р. за 1 л	14 июля 2022
56	Лента	яйцояйца 10 шт	100р. за единицу	14 июля 2022
57	Лента	молокомолоко	120р. за 1 л	14 июля 2022
58	Лента	сахарсахар	75р. за 1 кг	14 июля 2022
59	Лента	фруктыяблоки	140р. за 1 кг	14 июля 2022
60	Лента	капустакапуста	50р. за 1 кг	14 июля 2022
61	Лента	гречкагречка	140р. за 1 кг	14 июля 2022
62	Дикси	масло растительноемасло растительное	120р. за 1 л	03 июля 2022
63	Дикси	яйцояйца 10 шт	90р. за единицу	03 июля 2022
64	Дикси	сахарсахар	75р. за 1 кг	03 июля 2022
65	Дикси	фруктыяблоки	145р. за 1 кг	03 июля 2022
66	Пятерочка	молокоПростаквашино	50р. за 1 л	28 июня 2022
67	Лента	масло сливочноемасло 	1000р. за 1 кг	28 июня 2022
68	Дикси	крупарис	70р. за 1 кг	25 июня 2022
69	Ашан	гречкакрупа гречневая ядрица 1 сорт, 800г	119.9р. за 1 кг	24 июня 2022
70	Перекресток	овощиогурцы	180р. за 1 кг	22 июня 2022
71	Пятерочка	хлеббатон	26р. за 1 кг	22 июня 2022
72	Пятерочка	водаСвятой источник	35р. за 1 л	21 июня 2022
73	Магнит	рыбалосось	1000р. за 1 кг	20 июня 2022
74	Перекресток	мясокуриная голень	240р. за 1 кг	19 июня 2022
75	Водный мир	рыбаЛосось охлажденный	1700р. за 1 кг	13 июня 2022
76	Магнит	масло растительноемасло растительное	90р. за 1 л	13 июня 2022
77	Магнит	яйцояйца 10 шт	70р. за единицу	13 июня 2022
78	Магнит	молокомолоко	89р. за 1 л	13 июня 2022
79	Магнит	сахарсахар	70р. за 1 кг	13 июня 2022
80	Магнит	капустакапуста	80р. за 1 кг	13 июня 2022
81	Магнит	мукамука	60р. за 1 кг	13 июня 2022
82	Пятерочка	гречкагречка  Мистраль, ядрица	159р. за 1 кг	07 июня 2022
83	Пятерочка	гречка гречка	100р. за 1 кг	07 июня 2022
84	Магнит	хлебхлеб  белый	20р. за 1 кг	27 мая 2022
85	Красное&белое	напитокFanta	89р. за 1 л	26 мая 2022
86	Пятерочка	чайчай	890р. за 1 кг	24 мая 2022
87	5	чайчай	1600р. за 1 кг	23 мая 2022
88	5	масло растительноемасло растительное	120р. за 1 л	23 мая 2022
89	5	яйцояйца 10 шт	80р. за единицу	23 мая 2022
90	5	молокомолоко	40р. за 1 л	23 мая 2022
91	5	рыбарыба	300р. за 1 кг	23 мая 2022
92	5	мясоГовядина	500р. за 1 кг	23 мая 2022
93	5	сахарсахар	80р. за 1 кг	23 мая 2022
94	5	фруктыяблоки	100р. за 1 кг	23 мая 2022
95	5	капустакапуста	50р. за 1 кг	23 мая 2022
96	5	картофелькартошка	50р. за 1 кг	23 мая 2022
97	5	мукамука	50р. за 1 кг	23 мая 2022
